Dateiname	Sprachtyp	Level	URL	Verfasser_in	Datum	Herausgeber_in	Überprüfung	Siegel	Original-Lizenz	Korpus	Textsorte	Herausgeber_in_anno	Kommentar_textsorte
m_77_easy	Leicht	A1	https://hurraki.de/wiki/Atelier	NA	2019	Hep Hep Hurra	NA	NA	CC BY-SA 3.0 DE	WebCorpus	Wiki	Verein/NGO	NA
m_79_easy	Leicht	NA	https://www.lebenshilfe.de/informieren/woerterbuch/woerterbuch-detail/?tx_lfdictionary_detail%5Bdictionaryentry%5D=175&tx_lfdictionary_detail%5Baction%5D=show&tx_lfdictionary_detail%5Bcontroller%5D=Dictionaryentry&cHash=ec9f25eb3f1e5f7472411c7bb40f92ed	NA	2018	Lebenshilfe	NA	NA	CC BY-NC	WebCorpus	Lexikon	Verein/NGO	NA
m_80_easy	Leicht	A1	https://hurraki.de/wiki/Gelb	NA	2019	Hep Hep Hurra	NA	NA	CC BY-SA 3.0 DE	WebCorpus	Wiki	Verein/NGO	NA
m_81_easy	Leicht	A1	https://hurraki.de/wiki/Toleranz	NA	2019	Hep Hep Hurra	NA	NA	CC BY-SA 3.0 DE	WebCorpus	Wiki	Verein/NGO	NA
m_82_easy	Leicht	NA	https://www.lebenshilfe.de/informieren/woerterbuch/woerterbuch-detail/?tx_lfdictionary_detail%5Bdictionaryentry%5D=41&tx_lfdictionary_detail%5Bsearchterm%5D=&tx_lfdictionary_detail%5Bletter%5D=A&tx_lfdictionary_detail%5Baction%5D=show&tx_lfdictionary_detail%5Bcontroller%5D=Dictionaryentry&cHash=6c99eda507a40e2a73b3fca4c047bc4c	NA	2018	Lebenshilfe	NA	NA	CC BY-NC	WebCorpus	Lexikon	Verein/NGO	NA
m_83_easy	Leicht	NA	https://www.lebenshilfe.de/informieren/woerterbuch/woerterbuch-detail/?tx_lfdictionary_detail%5Bdictionaryentry%5D=279&tx_lfdictionary_detail%5Bsearchterm%5D=&tx_lfdictionary_detail%5Bletter%5D=W&tx_lfdictionary_detail%5Baction%5D=show&tx_lfdictionary_detail%5Bcontroller%5D=Dictionaryentry&cHash=6255603849b07502309dd60ea3f1c199	NA	2018	Lebenshilfe	NA	NA	CC BY-NC	WebCorpus	Lexikon	Verein/NGO	NA
m_84_easy	Leicht	A1	https://hurraki.de/wiki/Interdisziplin%C3%A4r	NA	2019	Hep Hep Hurra	NA	NA	CC BY-SA 3.0 DE	WebCorpus	Wiki	Verein/NGO	NA
m_85_easy	Leicht	A1	https://hurraki.de/wiki/Anschlag_in_Bangkok_im_August_2015	NA	2019	Hep Hep Hurra	NA	NA	CC BY-SA 3.0 DE	WebCorpus	Wiki	Verein/NGO	NA
m_86_easy	Leicht	A1	https://hurraki.de/wiki/Iron_Dome	NA	2019	Hep Hep Hurra	NA	NA	CC BY-SA 3.0 DE	WebCorpus	Wiki	Verein/NGO	NA
m_88_easy	Leicht	A1	https://hurraki.de/wiki/Hot_Swap	NA	2019	Hep Hep Hurra	NA	NA	CC BY-SA 3.0 DE	WebCorpus	Wiki	Verein/NGO	NA
m_89_easy	Leicht	A1	https://hurraki.de/wiki/Trend	NA	2019	Hep Hep Hurra	NA	NA	CC BY-SA 3.0 DE	WebCorpus	Wiki	Verein/NGO	NA
m_90_easy	Leicht	A1	https://hurraki.de/wiki/Wasserkreislauf	NA	2019	Hep Hep Hurra	NA	NA	CC BY-SA 3.0 DE	WebCorpus	Wiki	Verein/NGO	NA
m_91_easy	Leicht	A1	https://hurraki.de/wiki/Einwohnermeldeamt	NA	2019	Hep Hep Hurra	NA	NA	CC BY-SA 3.0 DE	WebCorpus	Wiki	Verein/NGO	NA
m_92_easy	Leicht	A1	https://hurraki.de/wiki/Protektionismus	NA	2019	Hep Hep Hurra	NA	NA	CC BY-SA 3.0 DE	WebCorpus	Wiki	Verein/NGO	NA
m_93_easy	Leicht	A1	https://hurraki.de/wiki/Organspende	NA	2019	Hep Hep Hurra	NA	NA	CC BY-SA 3.0 DE	WebCorpus	Wiki	Verein/NGO	NA
m_94_easy	Leicht	A1	https://hurraki.de/wiki/Fidel_Castro	NA	2019	Hep Hep Hurra	NA	NA	CC BY-SA 3.0 DE	WebCorpus	Wiki	Verein/NGO	NA
m_95_easy	Leicht	A1	https://hurraki.de/blog/ergaenzende-unabhaengige-teilhabe%c2%b7beratung/	NA	2018	Hep Hep Hurra	NA	NA	CC BY-SA 3.0 DE	WebCorpus	Wiki	Verein/NGO	NA
m_96_easy	Leicht	A1	https://hurraki.de/wiki/Fl%C3%BCchtlingsstrom	NA	2019	Hep Hep Hurra	NA	NA	CC BY-SA 3.0 DE	WebCorpus	Wiki	Verein/NGO	NA
m_97_easy	Leicht	NA	https://www.lebenshilfe.de/informieren/woerterbuch/woerterbuch-detail/?tx_lfdictionary_detail%5Bdictionaryentry%5D=60&tx_lfdictionary_detail%5Bsearchterm%5D=&tx_lfdictionary_detail%5Bletter%5D=B&tx_lfdictionary_detail%5Baction%5D=show&tx_lfdictionary_detail%5Bcontroller%5D=Dictionaryentry&cHash=d7539fa3ab9765584f25044330f46e91	NA	2018	Lebenshilfe	NA	NA	CC BY-NC	WebCorpus	Lexikon	Verein/NGO	NA
m_98_easy	Leicht	A1	https://hurraki.de/wiki/Lemmy_Kilmister	NA	2019	Hep Hep Hurra	NA	NA	CC BY-SA 3.0 DE	WebCorpus	Wiki	Verein/NGO	NA
m_99_easy	Leicht	A1	https://hurraki.de/wiki/Trockenhaube	NA	2019	Hep Hep Hurra	NA	NA	CC BY-SA 3.0 DE	WebCorpus	Wiki	Verein/NGO	NA
m_100_easy	Leicht	NA	https://www.lebenshilfe.de/informieren/woerterbuch/woerterbuch-detail/?tx_lfdictionary_detail%5Bdictionaryentry%5D=260&tx_lfdictionary_detail%5Bsearchterm%5D=&tx_lfdictionary_detail%5Bletter%5D=T&tx_lfdictionary_detail%5Baction%5D=show&tx_lfdictionary_detail%5Bcontroller%5D=Dictionaryentry&cHash=1e81ecd7314e903f0b16038638ceb1d6	NA	2018	Lebenshilfe	NA	NA	CC BY-NC	WebCorpus	Lexikon	Verein/NGO	NA
m_101_easy	Leicht	A1	https://hurraki.de/wiki/Nervenkitzel	NA	2019	Hep Hep Hurra	NA	NA	CC BY-SA 3.0 DE	WebCorpus	Wiki	Verein/NGO	NA
m_102_easy	Leicht	A1	https://hurraki.de/wiki/Digital_Native	NA	2019	Hep Hep Hurra	NA	NA	CC BY-SA 3.0 DE	WebCorpus	Wiki	Verein/NGO	NA
m_103_easy	Leicht	A1	https://hurraki.de/wiki/Phantomdiskussion	NA	2019	Hep Hep Hurra	NA	NA	CC BY-SA 3.0 DE	WebCorpus	Wiki	Verein/NGO	NA
